ReviewText,ReviewDate,ReviewAuthor,ReviewStarRating,Review Link
"I own a petrol hybrid MG Hector and the experience has been amazing to date. Have completed 2k kms. 1. The engine : sufficient power for this sized car. I initially thought the power to weight ratio would be evident when it comes to pulling the car, but I haven't experienced lack of power in most scenarios. The noise and vibrations are so low that sometime you wouldn't even know if the car is switched ON. 2. Driveability : light steering & clutch plus smooth gear transmission, it's an amazing combination to have especially if you drive a lot in the city. On the highway the steering doesn't feel very light, so you have sufficient control over the vehicle. Around the corners there definitely is the trademark SUV crossover bodyroll. If you are sitting in the rear seat, then you can be assured that you are sitting in the most comfortable space which you wouldn't get in any car. 3. Fuel efficiency: 6th gear and 80-120kms is the sweet spot for this car. Put it in this range and ull set records with the mileage. Mine clocks 19-21 km/L in this range. Within city under heavy traffic conditions I get 7-9km/L. 4. Infotainment system: a lot have complained on the sluggishness of the system, and even I felt the system to be slow. The latest update has fixed this issue. The system is smoother now. With a USB connected you can view photos and videos as well. 5. Space and overall comfort: the hector scores a 11/10 over here.. 10/ 10 with the sunroof closed and 11 with an open sunroof. Overall this is an awesome car in this segment and should be an obvious pick for anyone who is looking out to by am SUV crossover between 15 to 23Lakhs on-road price."," Oct 06, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/mg-hector/amazing-car-88851.htm
I bought the MG Hector Super Diesel MT after going through the specs and features. The fuel efficiency of the car is very good. The car is very spacious and comfortable for long journeys.," Oct 23, 2019 ",By Pawan,5.0,https://www.cardekho.com/user-review/mg-hector/mg-hector-super-diesel-mt-91645.htm
"Fabulous Car
It is an amazing experience with MG Hector and it's German-based company, powerful engine and mileage are good. Interior is designed in both metal and wood so good looking and main informing touching display is awesome and the voice commanding is enabled so easy to use this car and many colours are there. In the top, there is a sunroof And in front...Read More"," Oct 23, 2019 ",By Shivashankar Hm,5.0,https://www.cardekho.com/user-review/mg-hector/fabulous-car-91644.htm
"Good Driving Experience
I have been driving MG Hector, Petrol, DCT Car for the last 3 months. I am thoroughly disappointed with fuel efficiency. City driving is between 5 to 6 km which is nowhere near the declared fuel efficiency of 13+ km. Highway driving FE is not more than 9kms. Moreover, there is a lag in DCT when you accelerate. VW TSI is the best in automatic transm...Read More"," Oct 14, 2019 ",By N Viswanath,3.0,https://www.cardekho.com/user-review/mg-hector/good-driving-experience-90399.htm
"MG Hector is a good car with a new attractive design, nice work on the headlamps at the back. But even making simplest of the task such as adjusting the fan speed by use of the touch screen or voice command is quite difficult to get used to, moreover, the voice command is not responsive at all times. A nice new concept car overall."," Oct 09, 2019 ",By V P Singh,4.0,https://www.cardekho.com/user-review/mg-hector/car-has-attractive-design-89565.htm
"Car Gives Good Level Of Comfort
I have MG Hector diesel top-end variants. The car has a good level of comfort. However, it comes with a touch screen of 10 inch which feels good. The car comes with sunroof which gives it a luxury look. According to safety, it comes with 6 airbags, ABS, EBD, all-disc brakes, 360° camera, front parking sensors and many more. Overall I would like to ...Read More"," Oct 09, 2019 ",By Aditya Metrani,5.0,https://www.cardekho.com/user-review/mg-hector/car-gives-good-level-of-comfort-89562.htm
"Worth Buying!!!
I like the front grill of MG Hector especially the DRLS alongwith the indicators. When I sat inside the hector it felt wow because the interior looks like you are sitting in a living room with a 10 inches display along with a navigation and GPRS. Voice command is also very great. I love the front of the car but at the back, it looks like an Audi as...Read More"," Oct 09, 2019 ",By Lakshya Goel,5.0,https://www.cardekho.com/user-review/mg-hector/worth-buying-89392.htm
"MG Hector is best in terms of space and it gets a tesla type touchscreen which is absolutely great. Its feature distribution is good in all its variant or its engine is good you can buy it if you want space in your car. But if you want features then you will go for seltos, it gets all led lights and best in bad roads."," Oct 14, 2019 ",By Dhawan Beatz,4.0,https://www.cardekho.com/user-review/mg-hector/spacious-car-90417.htm
"Mind Blowing Car
MG Hector is one of the best experience of driving this car. And especially in today's world where people are just in connection with one touch. This MG car is also now a smart car where people are smart with phones and many more. Well, it's one of the best launch for India to launch MG Hector. Drive your experience and now get a smart car. Read More"," Oct 09, 2019 ",By Chetan Jhaveri,4.0,https://www.cardekho.com/user-review/mg-hector/mind-blowing-car-89517.htm
"An Awesome Car
The features are impressive. The seating is very comfortable. The entertainment system is good. This is the best car in this segment."," Oct 24, 2019 ",By Vansh Khattar,5.0,https://www.cardekho.com/user-review/mg-hector/an-awesome-car-91708.htm
"MG Hector is the best Suv To Buy With More Features. Pick up of the vehicle is excellent, Comfort of the vehicle is superb. The overall performance of the vehicle is awesome. Mileage is better as compared to other Suv. After-sales service is awesome as they have given me was excellent as they answered for my doubts after the delivery. Engine Performance of the vehicle is excellent."," Oct 06, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/mg-hector/most-awaited-suv-88848.htm
"I don't really know about the performance of MG Hector and other ratings of this car but if you talk about the looks.. perfection.. its beauty is its LED headlights and taillights. Its slim body gives a very VIP look. It's gorgeous in every way, although its width is a little bit weird but the cuttings and edges are so perfect that it just covers the width problem. It's interior, my goodness can't explain it in words. So beautifully arranged.. furnished and polished. Buttons and A/C systems.. all perfect. Although the seats are a little bit uncomfortable for a tall person it can be managed.. It depends upon the people's adjusting. I ve heard so far that engine is even good.. in every single way excluding mileage but the acceleration and the adrenaline just couldnt be better."," Oct 02, 2019 ",By Rajat Deep,5.0,https://www.cardekho.com/user-review/mg-hector/good-looks-88041.htm
"Love This Car
Wow-what an experience I just purchased an MG Hector sharp mt it was an excellent experience giving a mileage of 18 and pickup of the car is very nice and the internal feature of the car is just wow easy to use and the car is giving the best luxury look which is plus point is that the car is very nice and this car is not much expensive and I will s...Read More"," Sep 27, 2019 ",By Aman Bansal,5.0,https://www.cardekho.com/user-review/mg-hector/love-this-car-87226.htm
We Indians love SUV. MG Hector is one such product that feels strong and sturdy and huge like an SUV but drives like a car. Not an offroader at all but has a butch and strong on-road appeal like an SUV. Then with all those gizmos and airy cabin its just sheer pleasure to drive this beauty. And that ample boot space which could just help you out to move to your new house in a jiffy. Its a great car for the price point Would have been happier if they had an option for bigger wheels.," Sep 27, 2019 ",By Baba,5.0,https://www.cardekho.com/user-review/mg-hector/the-trojan-hero-87195.htm
"A Must Car For SUV Lovers
Best in class. MG Hector is far better from other SUV in this segment. It's very comfortable and doesn't make us tired at all. Went from Hyderabad to Tirupati a 14 hours drive was far comfortable with the family . I wanna rate it above 5 stars but no prob 5/5 is what it deserves. The MG Hector will rule the roads once all cars are out and people wi...Read More"," Sep 26, 2019 ",By Madan,5.0,https://www.cardekho.com/user-review/mg-hector/a-must-car-for-suv-lovers-87086.htm
"MG Hector is the best combination for good looks, design and at a minimum prices ranges. This car have all the features which the imported car posses. It is a really good car at that budget."," Oct 05, 2019 ",By Sanskar Lasar,5.0,https://www.cardekho.com/user-review/mg-hector/best-desgined-car-88793.htm
"MG Hector is a good and powerful vehicle.As it has a powerful engine with great cc and power in a less amount of money. Just a remaining thing is an automatic variant, which is really needed."," Sep 28, 2019 ",By Venkatesh Ghule,5.0,https://www.cardekho.com/user-review/mg-hector/powerful-car-87294.htm
"Best Car Of The Year
MG Hector is an excellent car nice power and great comfort and just perfect for everything and the price is too reasonable."," Oct 04, 2019 ",By Y V Gopala Krishna,5.0,https://www.cardekho.com/user-review/mg-hector/best-car-of-the-year-88560.htm
"Very Good Car
MG Hector is a very high technology car, And I love it and this car price is also less as compared to its feature and this car is having nice ground clearance and this car is fabulous. Read More"," Sep 29, 2019 ",By Jivanlala Bothra,4.0,https://www.cardekho.com/user-review/mg-hector/very-good-car-87504.htm
"MG Hector is a brilliant car. MG Hector also knew as internet car is a car with a lot of features as well a big size than Kia seltos. Hector is a good family car according to me. So if anyone wants to buy a good family car, then MG hector is the best choice. "," Sep 29, 2019 ",By Vishal Sharma,5.0,https://www.cardekho.com/user-review/mg-hector/awesome-car-87501.htm
"Bought MG Hector over compass because of its specifications,within my price range & it offers the same power as a compass. Cons -(small tyres, the suspension on the soft side so there is lack of high-speed stability) Pros -(looks, connectivity, steering setup it feels like driving a small car, huge moonroof ) fiat Multijet engine with good mid-range kick and sufficient mileage. Overall performance is great for debut year they came with a perfect price range and hence it's a bonus for us to own this human thing."," Sep 23, 2019 ",By User,5.0,https://www.cardekho.com/user-review/mg-hector/partner-for-enthusiasm-86500.htm
"I got my MG Hector Diesel Sharp on 1st August 2019 and I have driven for 2000 km. Overall car is great it has good road presence, pickup Is good, the turbo kicks in around 1500 rpm. I haven't experienced body roll as I have not cut any sharp corners yet. The screen is a bit slow. They need to improve the response time of the screen, also still waiting for the apple carplay update for the hector. In the city, it is giving a mileage of around 12-13 km/L and on the highway around 16-17 km/L. The sound system is great. Steering quality is not up to the mark, planning to get leather cover over it. Overall it's a good buy."," Sep 22, 2019 ",By Tarunveer Singh,5.0,https://www.cardekho.com/user-review/mg-hector/great-car-not-perfect-86239.htm
"Worst Product
The MG Hector looks good and is tempting to buy as it offers a lot of great features at a significantly low price but the car has a severe problem which consumers may not come across very soon but some or the other day they may face many problems. The car's clutch plates are burning off. Read More"," Sep 25, 2019 ",By Anonymous,1.0,https://www.cardekho.com/user-review/mg-hector/worst-product-86774.htm
"MG Hector is an amazing car which is loaded with full of features. The car has awesome looks, DCT(dual-clutch transmission) is very smooth. This car has amazing safety features and strong built quality. The only drawback is its mileage, it is giving 7-8 in city and 11-12 on highways."," Sep 24, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/mg-hector/amazing-car-with-strong-built-quality-86623.htm
"Need For Speed
MG Hector is one of the best Vehicle, riding this vehicle made me feel of need for speed Most wanted. The big console makes riding more comfortable and convenient. That ""Hello MG"" feature just took up my heart. One from Starting to end, that touch panel, console, and each thing is worth buying. It's like Gem in a budget range. Read More"," Sep 24, 2019 ",By Nikhil Hatwar,5.0,https://www.cardekho.com/user-review/mg-hector/need-for-speed-86578.htm
"Best Car Of India
MG Hector is the best selling car as it has reached about 21 thousand bookings in India and is India's first internet car. This is my favourite car as it consists of my favourite features like a sunroof and responds to my speaking. It is good as it has options of petrol and diesel and gives better mileage. It has a big boot space and is my favourit...Read More"," Sep 24, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/mg-hector/best-car-of-india-86553.htm
M.G. had recently entered the Indian markets and became the most popular company in less time. The features are given in the MG Hector are the best features than any other cars according to price and type. It is having bold look and also having the sporty interiors. The concept of the panoramic sunroof is good and having the biggest touchscreen.," Sep 23, 2019 ",By Dhru Rajani,5.0,https://www.cardekho.com/user-review/mg-hector/most-attractive-car-in-market-86343.htm
"The design is awesome for MG Hector.This car comes with a panoramic sunroof which gives a feel as if you are sitting in a premium SUV. The internet, voice commands, and the 10inch touch screen are too good."," Sep 23, 2019 ",By Rohith,5.0,https://www.cardekho.com/user-review/mg-hector/luxury-car-of-the-year-86320.htm
Took a test drive of MG Hector. The driving experience was ok. Actual AC controller is what a customer likes because voice command is not upto the mark. Camera clarity was awful. Seemed like a gimmick. Comfort level was good. But this car comes with offers which Indian customer loves. ," Sep 25, 2019 ",By Beantpreet Singh,3.0,https://www.cardekho.com/user-review/mg-hector/a-new-generation-xuv-86818.htm
"MG Hector is a Premium Car. The finish, the performance all look top-notch. It has Revolutionized the future car concept and has set a benchmark of how cars should be. At a great price, one shares great Specifications. "," Sep 24, 2019 ",By Sunil Sharma,5.0,https://www.cardekho.com/user-review/mg-hector/car-of-the-year-86673.htm
"Truly Impressive
MG Hector is a Revolution of the Indian car market true Combination of technology and Performance. I like the way car has been responds your Commands. This is truly impressive, I must say that is the Winner of the Segment. Everything got perfect exterior and interior both look good, especially interior good quality of material Used by MG. I must sa...Read More"," Sep 18, 2019 ",By Jitendra Singh,4.0,https://www.cardekho.com/user-review/mg-hector/truly-impressive-85616.htm
"My favourite car MG Hector
Very big car and a stereo-like tab. It has better efficiency. Drive good on offroad also. 6-seater car for every person. Good protection facilities. Only one car but very good. It has an affordable price. Very spacious car. Good experience. Read More"," Sep 20, 2019 ",By Amay Jain,5.0,https://www.cardekho.com/user-review/mg-hector/my-favourite-car-mg-hector-85904.htm
The MG Hector is the best car I have ever viewed with so much features premium body and a luxurious look from inside and outside and a comfortable and safe drive. It feels like sleeping on a bed when traveling while going for long distances.," Sep 19, 2019 ",By Nisha Sasidharan,5.0,https://www.cardekho.com/user-review/mg-hector/car-to-be-appreciated-85831.htm
"Good and comfortable SUV in the segment, first panoramic sunroof in so low budget in SUV segment & awesome feeling in cabin & awesome sound system with amplifier woofer & speakers sound quality is good in this segment & boot space is also good with automatic hydraulic back gate closure and silent cabin also."," Sep 19, 2019 ",By Sameer Roy,5.0,https://www.cardekho.com/user-review/mg-hector/awesome-comfort-and-features-85819.htm
"Drove the MG Hector one whole day. In traffic, highway and mud road. Great performance and smooth ride. Amazing features. Fully voice controlled. Even the windows. I was awestruck. The 10.1-inch touchscreen adds to the premium feel. The panoramic sunroof in the top version gives you a feel of riding a convertible. In short, worth every penny."," Sep 21, 2019 ",By Nikhil Thomas,5.0,https://www.cardekho.com/user-review/mg-hector/worth-every-penny-86092.htm
"Awesome Technology In Indian Market
Yes, I was the first to buy MG Hector in Coimbatore. it is a superb car with all the technology. It has an awesome voice control and it is also full safety features with all around airbags and it has a massive boot space. Usually German is good at technology but MG Hector has the best tech in the world best it has 5g support with wifi and it is a c...Read More"," Sep 20, 2019 ",By Prethwin,5.0,https://www.cardekho.com/user-review/mg-hector/awesome-technology-in-indian-market-85977.htm
"India's No 1 Car
MG Hector is a premium car with a great built quality. It gives good performance, it has good music system with a sunroof. The voice command feature is the first in the class. Read More"," Sep 16, 2019 ",By Rahul Dev,5.0,https://www.cardekho.com/user-review/mg-hector/indias-no-1-car-85328.htm
"First Car Of MG In India
It is the first car of MG in India. It has internet facility and has comfortable seats with very good pickup. The average is good, the engine is very high."," Sep 21, 2019 ",By Neetu Totla,5.0,https://www.cardekho.com/user-review/mg-hector/first-car-of-mg-in-india-86145.htm
MG Hector is the first car I had ever seen to talk like a human being. We wish we could accept more better from MG in future. This car made my day when I went for a ride with my brother. Since it is not a Premium car but it makes us feel more than premium.," Sep 17, 2019 ",By Nurjaman Vlog,5.0,https://www.cardekho.com/user-review/mg-hector/each-and-every-part-looks-like-of-premium-quality-85411.htm
"Car Which Has Voice Command Feature
MG Hector is a supercar with good looks. It has sunroof and voice control feature is the best."," Sep 16, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/mg-hector/car-which-has-voice-command-feature-85342.htm
MG (Morris Garage) It is the first-ever model for MG Hector in India and is a connected SUV. This SUV is the most featured then Indian selling SUV's. Hector is loaded with full voice control. MG brought new technology and feature like important luxurious car in cheaper to the Indian market. Its well developed the first SUV in India. MG will beat other its range SUV in the Indian Auto market.," Sep 14, 2019 ",By Gaurav Dudhawade,5.0,https://www.cardekho.com/user-review/mg-hector/the-best-featured-and-specified-suv-84766.htm
"MG Hector : Just today came back from 1200 mns test drive of My MG Hector Sharp Diesel from 07 to 09 Sep 19. Driving comfort, Powerful climate control, music system, suspension, space, headlamps are really worth to own this vehicle but less wheelbase, lack of 4x4, lack of sub look are the drawbacks. Fuel consumption is ok but not matching with companies claimed one."," Sep 10, 2019 ",By Jayant,4.0,https://www.cardekho.com/user-review/mg-hector/test-drive-report-84087.htm
