id,name,latitude,longitude,dpcapacity,dateCreated
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,21-06-2013
88,May St & Randolph St,41.88397,-87.655688,15,27-06-2013
80,Aberdeen St & Madison St,41.881487,-87.654752,19,26-06-2013
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,21-06-2013
134,Peoria St & Jackson Blvd,41.877749,-87.649633,19,25-07-2013
198,Halsted St & Madison St,41.88175,-87.6478,19,10-08-2013
22,May St & Taylor St,41.8694821,-87.6554864,15,21-06-2013
282,Halsted St & Maxwell St,41.86458,-87.64693,15,13-09-2013
135,Halsted St & 21st St,41.85378,-87.64665,11,24-07-2013
14,Morgan St & 18th St,41.858086,-87.651073,15,20-06-2013
15,Racine Ave & 18th St,41.85818061,-87.65648665,15,20-06-2013
136,Racine Ave & 13th St,41.865054,-87.656959,15,31-07-2013
55,Halsted St & James M Rochford St,41.865861,-87.646611,15,17-06-2013
241,Morgan St & Polk St,41.871737,-87.65103,15,22-08-2013
137,Morgan Ave & 14th Pl,41.862378,-87.651062,15,31-07-2013
42,Wabash Ave & Cermak Rd,41.85323876,-87.62533709,15,18-06-2013
138,Clybourn Ave & Division St,41.904509,-87.6405,15,05-08-2013
23,Orleans St & Elm St,41.902924,-87.637715,15,21-06-2013
140,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19,01-08-2013
27,Larrabee St & North Ave,41.91021,-87.6435,19,22-06-2013
331,Halsted St & Blackhawk St,41.90854,-87.648568,19,28-09-2013
141,Clark St & Lincoln Ave,41.915689,-87.6346,23,16-08-2013
218,Wells St & 19th St,41.856802,-87.633879,11,23-08-2013
224,Halsted St & Willow St,41.913778,-87.64884,19,22-08-2013
289,Wells St & Concord Ln,41.912202,-87.634664,19,14-09-2013
288,Larrabee St & Armitage Ave,41.91797,-87.64368,11,13-09-2013
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,15,22-08-2013
307,Southport Ave & Clybourn Ave,41.921004,-87.663257,15,25-09-2013
327,Sheffield Ave & Webster Ave,41.921687,-87.653714,19,25-09-2013
87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,19,26-06-2013
93,Sheffield Ave & Willow St,41.913688,-87.652855,15,27-06-2013
143,Sedgwick St & Webster Ave,41.92197,-87.63854,15,03-08-2013
225,Halsted St & Dickens Ave,41.919936,-87.64883,15,19-08-2013
144,Larrabee St & Webster Ave,41.92175,-87.64401,15,02-08-2013
186,Ogden Ave & Race Ave,41.891795,-87.658751,15,28-07-2013
92,Carpenter St & Huron St,41.894556,-87.653449,19,26-06-2013
217,May St & Fulton St,41.886773,-87.656001,15,16-08-2013
301,Clark St & Schiller St,41.907993,-87.631501,19,19-09-2013
146,Loomis St & Jackson Blvd,41.877945,-87.662007,11,28-07-2013
332,Halsted St & Diversey Pkwy,41.933341,-87.648747,15,28-09-2013
340,Clark St & Wrightwood Ave,41.929546,-87.643118,15,24-10-2013
349,Halsted St & Wrightwood Ave,41.929143,-87.649077,15,28-10-2013
302,Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,19,20-09-2013
147,Indiana Ave & 26th St,41.8457,-87.62248,15,23-07-2013
193,State St & 29th St,41.841707,-87.626938,15,23-08-2013
237,Martin Luther King Dr & 29th St,41.842052,-87.617,15,21-08-2013
263,Rhodes Ave & 32nd St,41.836208,-87.613533,11,17-09-2013
